"ABLG","MDGA","FOXD3","HCN1","HOXB9","HSPA2","IGF2BP3","LOC1139","LOC114","POU4F1","SLC","OTP","PBX3","AgeYRS"
"37216",0.08,0.27,0.04,0.24,0.36,0.16,0.06,0.65,0,0.16,0.15,0.89,17.1
"37217",0.08,0.24,0.03,0.18,0.34,0.16,0.06,0.61,0.01,0.14,0.09,0.86,14.1
"37218",0.08,0.28,0.03,0.27,0.43,0.19,0.07,0.71,0.01,0.16,0.12,0.87,14.1
"37219",0.06,0.27,0.02,0.18,0.3,0.15,0.06,0.6,0,0.16,0.11,0.87,8.1
"37220",0.07,0.28,0.03,0.24,0.39,0.16,0.07,0.63,0.01,0.17,0.1,0.87,18.1
"37221",0.06,0.24,0.02,0.18,0.35,0.16,0.06,0.63,0.01,0.13,0.08,0.86,8.1
"37222",0.06,0.23,0.02,0.17,0.29,0.16,0.06,0.62,0.01,0.14,0.07,0.84,8.1
"37223",0.07,0.21,0.02,0.22,0.37,0.16,0.06,0.64,0,0.16,0.12,0.88,18.1
"37224",0.07,0.26,0.02,0.22,0.37,0.17,0.06,0.64,0.01,0.14,0.09,0.83,20.1
"37225",0.06,0.27,0.02,0.16,0.37,0.16,0.07,0.63,0.01,0.16,0.09,0.87,14.1
"37226",0.07,0.28,0.03,0.14,0.35,0.16,0.07,0.61,0.01,0.13,0.09,0.86,12.1
"37227",0.06,0.27,0.02,0.18,0.38,0.17,0.06,0.63,0.01,0.14,0.11,0.86,14.1
"37228",0.07,0.25,0.03,0.13,0.32,0.16,0.07,0.62,0,0.14,0.08,0.92,8.1
"37229",0.06,0.26,0.02,0.15,0.33,0.16,0.07,0.61,0.01,0.13,0.08,0.87,8.1
"37230",0.07,0.26,0.03,0.22,0.33,0.17,0.07,0.6,0.01,0.15,0.08,0.87,13
"37231",0.08,0.21,0.03,0.2,0.37,0.17,0.04,0.62,0.01,0.17,0.14,0.84,20.1
"37232",0.07,0.24,0.03,0.24,0.35,0.16,0.07,0.62,0.02,0.14,0.12,0.88,16
"37233",0.06,0.23,0.02,0.18,0.32,0.15,0.07,0.6,0,0.13,0.11,0.85,6
"37234",0.07,0.22,0.02,0.2,0.29,0.16,0.06,0.6,0.01,0.14,0.07,0.9,6.1
"37235",0.06,0.28,0.02,0.17,0.33,0.15,0.06,0.62,0,0.13,0.08,0.85,6.1
"37236",0.07,0.26,0.02,0.24,0.33,0.16,0.07,0.62,0,0.14,0.08,0.91,6.1
"37237",0.04,0.21,0,0.14,0.23,0.17,0.05,0.63,0,0.09,0.06,0.7,6.2
"37238",0.07,0.23,0.02,0.21,0.34,0.17,0.05,0.64,0.01,0.12,0.14,0.85,18.4
"37239",0.07,0.2,0.01,0.18,0.27,0.16,0.06,0.63,0.01,0.14,0.08,0.86,10.4
"37240",0.07,0.23,0.03,0.22,0.32,0.16,0.05,0.66,0.01,0.12,0.09,0.83,14
"37241",0.08,0.25,0.04,0.27,0.36,0.18,0.07,0.62,0.02,0.16,0.11,0.9,18
